Country,Time,HICP (SA)
JP,1985-08,84.33124139703486
JP,1985-09,83.85711733363061
JP,1985-10,84.28199198630271
JP,1985-11,84.12881118840463
JP,1985-12,84.30007503514042
JP,1986-01,84.82927170943782
JP,1986-02,84.88100875575886
JP,1986-03,84.47960870752866
JP,1986-04,84.30220660879998
JP,1986-05,84.35864095031035
JP,1986-06,84.2212767723318
JP,1986-07,84.27369894658388
JP,1986-08,84.2656070156444
JP,1986-09,84.17741372056166
JP,1986-10,83.99814160725992
JP,1986-11,84.11338546968678
JP,1986-12,84.03345348282838
JP,1987-01,84.03506642506493
JP,1987-02,84.17076719194334
JP,1987-03,84.15979597597035
JP,1987-04,84.40553954596959
JP,1987-05,84.31554601740159
JP,1987-06,84.43493484199986
JP,1987-07,84.42906351102984
JP,1987-08,84.52805336583673
JP,1987-09,84.80348980102104
JP,1987-10,84.59037254495286
JP,1987-11,84.66731414898246
JP,1987-12,84.8316574781093
JP,1988-01,84.8176201511271
JP,1988-02,84.75538756550834
JP,1988-03,84.8013469298059
JP,1988-04,84.60941030075469
JP,1988-05,84.48457739975338
JP,1988-06,84.53001041353788
JP,1988-07,84.89610148678295
JP,1988-08,85.18583600287985
JP,1988-09,85.30074437219159
JP,1988-10,85.43574523044313
JP,1988-11,85.57354164787355
JP,1988-12,85.6705605183399
JP,1989-01,85.7486961111566
JP,1989-02,85.46050417307282
JP,1989-03,85.67619399341163
JP,1989-04,86.64045930389622
JP,1989-05,86.8909900786854
JP,1989-06,87.19813977357755
JP,1989-07,87.47791778955637
JP,1989-08,87.44395676404515
JP,1989-09,87.73617687187325
JP,1989-10,87.88175132407798
JP,1989-11,87.36895657672683
JP,1989-12,87.9339447007155
JP,1990-01,88.51551938924169
JP,1990-02,88.60455869781721
JP,1990-03,88.7241889300071
JP,1990-04,89.00339544764448
JP,1990-05,89.16853962452183
JP,1990-06,89.27863077067562
JP,1990-07,89.51362655955843
JP,1990-08,89.84965548976426
JP,1990-09,90.15798000411598
JP,1990-10,90.60176484386871
JP,1990-11,90.84830957655807
JP,1990-12,91.18704918700143
JP,1991-01,91.97955130682793
JP,1991-02,91.69040091541075
JP,1991-03,91.99282577392898
JP,1991-04,91.92880963719618
JP,1991-05,92.2843889365258
JP,1991-06,92.29138867053818
JP,1991-07,92.67653159329971
JP,1991-08,92.80890211455359
JP,1991-09,92.66437935535102
JP,1991-10,93.19683801570469
JP,1991-11,93.59998919513251
JP,1991-12,93.51824613242195
JP,1992-01,93.53855639630954
JP,1992-02,93.48265495592611
JP,1992-03,93.7674312464989
JP,1992-04,94.20110186547122
JP,1992-05,94.12229829801805
JP,1992-06,94.4822128494413
JP,1992-07,94.22531142961769
JP,1992-08,94.32777383297883
JP,1992-09,94.48409235285439
JP,1992-10,94.15584750559576
JP,1992-11,94.45925552257165
JP,1992-12,94.61156949517338
JP,1993-01,94.68653315761155
JP,1993-02,94.8531333443168
JP,1993-03,94.87986521321288
JP,1993-04,95.00713196352548
JP,1993-05,94.97549722941325
JP,1993-06,95.24958936644701
JP,1993-07,96.03986259071459
JP,1993-08,96.07617199874007
JP,1993-09,95.7703262653029
JP,1993-10,95.50937417682866
JP,1993-11,95.45356885512346
JP,1993-12,95.514058027688
JP,1994-01,95.70294307315474
JP,1994-02,95.80803500295399
JP,1994-03,96.21793722060764
JP,1994-04,95.88449904857502
JP,1994-05,95.92982038748333
JP,1994-06,95.7530486319009
JP,1994-07,95.80883932611691
JP,1994-08,96.04494404405756
JP,1994-09,95.88136863868947
JP,1994-10,96.2448428232018
JP,1994-11,96.40425327229343
JP,1994-12,96.23099983229092
JP,1995-01,96.29626520929592
JP,1995-02,96.11504194972798
JP,1995-03,95.9391048861718
JP,1995-04,95.74348931368446
JP,1995-05,95.79914929095285
JP,1995-06,95.98202556009292
JP,1995-07,95.90356122207255
JP,1995-08,95.83369287043958
JP,1995-09,95.98725112937088
JP,1995-10,95.62496460633663
JP,1995-11,95.81467419403488
JP,1995-12,95.86062366274594
JP,1996-01,95.851547323964
JP,1996-02,95.77071019051486
JP,1996-03,95.83493539967448
JP,1996-04,95.97242859966991
JP,1996-05,95.9460342204719
JP,1996-06,95.9786433472775
JP,1996-07,96.18765898915106
JP,1996-08,96.02794440807993
JP,1996-09,95.97872120921843
JP,1996-10,96.05350563640943
JP,1996-11,96.32815846759978
JP,1996-12,96.53128522153973
JP,1997-01,96.5028444261962
JP,1997-02,96.42075486236031
JP,1997-03,96.31151288393343
JP,1997-04,97.78107918762466
